job_id,plate_file,stage,selection,material,process_profile,nozzle_mm,layer_mm,purpose,prerequisites,objects,extent_x_mm,extent_y_mm,extent_z_mm
03C1,03C1_PETG_tag_frame_first_article.3mf,first_article,required,PETG,petg_general_0p4,0.4,0.2,ID0 tag frame first article with isolated artwork and washer zones,plus4_machine_confirmed;nozzle_0p4_confirmed;petg_general_profile_calibrated;tag_stock_measured;general_clearance_holes_coupon_pass;setup_hardware_coupon_pass;geometry_matches_measurements;qidi_studio_roundtrip_confirmed,1,78.0,78.0,4.0
03C2,03C2_PETG_tag_frames_remaining.3mf,production,required,PETG,petg_general_0p4,0.4,0.2,Remaining ID1-ID5 tag frames after first-article acceptance,plus4_machine_confirmed;nozzle_0p4_confirmed;petg_general_profile_calibrated;tag_stock_measured;tag_artwork_scale_pass;tag_frame_first_article_pass;qidi_studio_roundtrip_confirmed,5,244.0,161.0,4.0
03C3,03C3_PETG_camera_plate.3mf,production,required,PETG,petg_general_0p4,0.4,0.2,Universal camera plate isolated for measured camera hardware,plus4_machine_confirmed;nozzle_0p4_confirmed;petg_general_profile_calibrated;camera_mount_interface_measured;general_clearance_holes_coupon_pass;setup_hardware_coupon_pass;geometry_matches_measurements;qidi_studio_roundtrip_confirmed,1,90.0,55.0,6.0
03D,03D_PETG_calibration_puck.3mf,production,required,PETG,petg_calibration_0p4,0.4,0.16,TCP calibration puck isolated at its fine process,plus4_machine_confirmed;nozzle_0p4_confirmed;petg_calibration_profile_calibrated;calibration_clearance_holes_coupon_pass;geometry_matches_measurements;qidi_studio_roundtrip_confirmed,1,60.0,60.0,8.0
04A,04A_PETG_shared_compliant_tool.3mf,route,any_tool_route,PETG,petg_precision_0p4,0.4,0.16,Shared compliant tool body with keyed cap and one spare cap,plus4_machine_confirmed;nozzle_0p4_confirmed;petg_precision_profile_calibrated;m3_insert_coupon_pass;gripper_interface_measured;gripper_coupon_pass;spring_dimensions_measured;spring_fit_coupon_pass;precision_m3_head_coupon_pass;geometry_matches_measurements;qidi_studio_roundtrip_confirmed,3,100.0,24.0,66.2
04B,04B_PETG_phone_stylus_adapters.3mf,route,phone_stylus_route,PETG,petg_adapter_0p4,0.4,0.12,Two phone-route stylus collars for thin-wall retention qualification and one spare,plus4_machine_confirmed;nozzle_0p4_confirmed;petg_adapter_profile_calibrated;stylus_diameter_measured;stylus_gauge_coupon_pass;adapter_retention_method_selected;qidi_studio_roundtrip_confirmed,2,33.6,13.6,5.5
04C,04C_PETG_keyboard_rod_adapters.3mf,route,keyboard_rod_route,PETG,petg_adapter_0p4,0.4,0.12,Two keyboard-route rod bushings for retention qualification and one spare,plus4_machine_confirmed;nozzle_0p4_confirmed;petg_adapter_profile_calibrated;keyboard_rod_measured;adapter_retention_method_selected;geometry_matches_measurements;qidi_studio_roundtrip_confirmed,2,38.5,13.5,38.8
05A,05A_TPU_phone_tip_first_article.3mf,first_article,required,TPU 95A,tpu95a_0p4,0.4,0.16,One phone TPU tip for dimensional and pull-off acceptance,plus4_machine_confirmed;nozzle_0p4_confirmed;tpu_profile_calibrated;qidi_studio_roundtrip_confirmed,1,7.5,7.5,8.0
05B,05B_TPU_phone_tips_and_spares.3mf,production,required,TPU 95A,tpu95a_0p4,0.4,0.16,"Three additional phone TPU tips, yielding two installed and two total spares",plus4_machine_confirmed;nozzle_0p4_confirmed;tpu_profile_calibrated;phone_tpu_retention_coupon_pass;qidi_studio_roundtrip_confirmed,3,47.5,7.5,8.0
05C,05C_TPU_keyboard_tip_first_article.3mf,first_article,keyboard_rod_route,TPU 95A,tpu95a_0p4,0.4,0.16,One keyboard TPU tip for dimensional and pull-off acceptance,plus4_machine_confirmed;nozzle_0p4_confirmed;tpu_profile_calibrated;keyboard_rod_measured;qidi_studio_roundtrip_confirmed,1,12.0,12.0,14.0
05D,05D_TPU_keyboard_tips_and_spares.3mf,production,keyboard_rod_route,TPU 95A,tpu95a_0p4,0.4,0.16,"Three additional keyboard TPU tips, yielding two installed and two total spares",plus4_machine_confirmed;nozzle_0p4_confirmed;tpu_profile_calibrated;keyboard_rod_measured;keyboard_tpu_retention_coupon_pass;qidi_studio_roundtrip_confirmed,3,52.0,12.0,14.0
06,06_ASA_mast_fit_tests.3mf,diagnostic,camera_mast_optional,ASA,asa_structural_0p4,0.4,0.24,Same-profile 2020 socket and production-axis M5 nut/clearance/washer tests,plus4_machine_confirmed;nozzle_0p4_confirmed;asa_profile_calibrated,2,146.0,90.0,30.0
07A,07A_ASA_mast_foot_first_article.3mf,first_article,camera_mast_optional,ASA,asa_structural_0p4,0.4,0.24,First corrected mast foot with rear-lug clamp bolts,plus4_machine_confirmed;nozzle_0p4_confirmed;asa_profile_calibrated;asa_mast_socket_coupon_pass;asa_m5_nut_coupon_pass;asa_m5_clearance_coupon_pass;geometry_matches_measurements;qidi_studio_roundtrip_confirmed,1,92.0,92.0,74.0
07B,07B_ASA_mast_foot_second.3mf,optional,camera_mast_optional,ASA,asa_structural_0p4,0.4,0.24,Second camera mast foot after first-article acceptance,plus4_machine_confirmed;nozzle_0p4_confirmed;asa_profile_calibrated;asa_mast_socket_coupon_pass;asa_m5_nut_coupon_pass;asa_m5_clearance_coupon_pass;geometry_matches_measurements;mast_foot_first_article_pass;qidi_studio_roundtrip_confirmed,1,92.0,92.0,74.0
