category,item,qty,specification,required,notes
Compliant tool,M3 heat-set inserts,2,"4.5-4.7 mm OD, 5-6 mm long",Yes,Retaining-cap inserts
Compliant tool,M3 x 10 mm button-head screws,2,Head OD must pass the setup-hardware coupon,Yes,Retaining cap; install without washers unless the cap recess is deliberately revised and revalidated
Compliant tool,Compression spring,1,OD <= 13.5 mm; ID >= 10.5 mm; free length 18-22 mm; light rate,Yes,Tune for 3-6 mm compliant travel
Keyboard tool,6 mm smooth rod,1,"90-110 mm long, aluminum/brass/steel/carbon",One tool option,Deburr ends; use printed adapter and TPU tip
Phone tool,Passive capacitive stylus,1,"Approx. 8.5-9.5 mm barrel, soft conductive tip",One tool option,Verify by hand on A16 before robot use
Phone tool,M2 x 3 mm nylon-tip or flat-point grub screws,2,One installed plus one spare; screw must remain below the 13.6 mm collar OD,If selected,Use only after the actual thin-wall collar passes thread and pull-force qualification
Tool retention,Removable retaining adhesive,1,Small tube of plastics-compatible non-brittle removable compound verified on PETG and the selected stylus or rod,If selected,Avoid permanent threadlocker and brittle cyanoacrylate; document the selected retention method
Safety,Latching power cutoff / E-stop,1,Rated for arm power supply,Yes,Keep outside robot reach
Board,Rubber feet,6,Adhesive or screw-on,Recommended,Prevent sliding and protect table
Board,Matte neutral paint or vinyl,1,Low-gloss light gray/white,Recommended,Reduces glare; do not cover tag print faces
Camera stand,2020 extrusion,2,700 mm vertical posts,Optional,Use separate stand to avoid arm vibration
Camera stand,2020 extrusion,1,650 mm crossbar,Optional,Width can be adjusted to camera framing
Camera stand,2020 angle brackets + T-nuts,4,Standard M5 hardware,Optional,Metal brackets preferred
Camera stand,M5 x 60 mm clamp bolts + nuts,4,Two bolts and two captive nuts per reinforced mast foot,Optional,Verify with ASA/PETG nut-trap coupon before assembly
Camera stand,M5 base-mounting hardware,8,Length and anchors selected for the stand base material; washers listed separately,Optional,Four mounting holes per mast foot
Camera stand,M5 T-slot screws,2,M5 x 10-16 mm selected for the camera plate and crossbar T-nuts,Optional,Two camera-plate mounting slots; confirm thread engagement before tightening
Camera stand,M5 T-nuts,2,Matched to the selected 2020 extrusion profile,Optional,Camera-plate crossbar attachment
Camera stand,M5 flat washers,16,10-12 mm OD selected with the setup coupon,Optional,Eight mast-base seats four mast-clamp bolt heads two camera-plate slots and two service spares
Camera stand,Camera retention straps or narrow zip ties,4,<= 4.0 mm wide and <= 1.5 mm thick; reusable straps preferred,Optional,Two installed through the camera-plate slots plus two spares
Camera stand,1/4-20 camera screw and nut,1,Screw length selected after measuring the camera blind-thread depth; nut only if the selected interface requires it,Optional,Do not allow the screw to bottom in the camera body
Service spares,Fastener and insert spare pack,1,2 M3 inserts; 2 M4 inserts; 2 M3 x 10 screws; 1 M4 x 25 clamp screw; 8 #8 screws; 8 M4 washers,Recommended,Label RC02-PRO-R1 and store with accepted coupons; printed TPU and adapter spares are supplied by their jobs
