kit_id,module,route_requirement,job_id,job_stage,printed_contents,hardware_and_consumables,acceptance_signoff,kit_status,count_verified_by,count_verified_date,qa_status,qa_signed_by,qa_signed_date,evidence_reference,storage_label,print_material,process_profile
KIT-VISION-CAM,Fixed-mast camera fallback,camera_mast_optional,03C3,production,1 universal fallback camera plate,"Actual fallback USB camera; 1 measured 1/4-20 screw and conditional nut; 2 M5 T-slot screws; 2 M5 T-nuts; 2 M5 washers; 2 straps or narrow ties","Do not use as an arm-camera adapter; after formal fallback release verify camera interface and screw depth strap retention washer seating and route-specific optical view",NOT_KITTED,,,NOT_INSPECTED,,,,RC03-INT-R1 KIT-VISION-CAM,PETG,petg_general_0p4
KIT-PUCK,TCP calibration,required,03D,first_article,2 keyed TCP datum cartridges,"2 M3 x 10 mm button-head screws; accepted phone/TCP station; straightedge and height gauge; INSTALL and SPARE labels","Keep calibration_puck_1 as 03D-A and calibration_puck_2 as 03D-B; qualify both over ten cycles; select INSTALL by the controlled normalized play/height-range score; label the other accepted cartridge SPARE - TCP RECALIBRATION REQUIRED",NOT_KITTED,,,NOT_INSPECTED,,,,RC03-INT-R1 KIT-PUCK,QIDI ABS Rapido,abs_rapido_calibration_0p4
KIT-TOOL-COMMON,Compliant tool common,any_tool_route,04A,route,"1 compliant tool body; 2 keyed top caps including 1 spare","2 M3 heat-set inserts; 2 M3 x 10 mm button-head screws; 1 accepted spring; optional force gauge","Verify body straightness grip flats bore insert alignment key fit and cap seating; later require 3-6 mm smooth travel without coil bind",NOT_KITTED,,,NOT_INSPECTED,,,,RC03-INT-R1 KIT-TOOL-COMMON,QIDI ABS Rapido,abs_rapido_precision_0p4
KIT-TOOL-PHONE,Phone stylus route,phone_stylus_route,04B,route,"2 stylus collars including 1 qualification spare","1 accepted capacitive stylus; minimal qualified plastics-compatible removable compound only if dry fit is insufficient","Qualify pull/cycle retention on the actual thin-wall collar; verify removability 24-hour creep smooth chamber travel and phone conductivity",NOT_KITTED,,,NOT_INSPECTED,,,,RC03-INT-R1 KIT-TOOL-PHONE,PETG,petg_adapter_0p4
KIT-TOOL-KB,Keyboard rod route,keyboard_rod_route,04C,route,"2 rod bushings including 1 qualification spare","1 deburred 6 mm rod; selected removable retaining adhesive if required; calipers","Verify measured bore and flange; qualify axial pull retention and 24-hour creep before robot use",NOT_KITTED,,,NOT_INSPECTED,,,,RC03-INT-R1 KIT-TOOL-KB,PETG,petg_adapter_0p4
KIT-TOOL-KB,Keyboard rod route,keyboard_rod_route,05C,first_article,1 keyboard TPU tip,"Actual 6 mm rod and retained rigid 6 mm peg; optional force gauge","Inspect bore and witness band; perform defined pull-off test; record keyboard_tpu_retention_coupon_pass",NOT_KITTED,,,NOT_INSPECTED,,,,RC03-INT-R1 KIT-TOOL-KB,TPU 95A,tpu95a_0p4
KIT-TOOL-KB,Keyboard rod route,keyboard_rod_route,05D,production,3 additional keyboard TPU tips,"Accepted 6 mm rod; labeled spare bag","Confirm four accepted tips total from jobs 05C and 05D; label two INSTALL and two SPARE",NOT_KITTED,,,NOT_INSPECTED,,,,RC03-INT-R1 KIT-TOOL-KB,TPU 95A,tpu95a_0p4
KIT-MAST,Fixed-mast camera fallback,camera_mast_optional,06,diagnostic,"1 ASA 2020 socket ladder; 1 production-axis M5 nut clearance and washer gauge","Actual 2020 extrusion sample; M5 bolt nut and washer samples; calipers","Do not kit or print until fixed_camera_fallback_architecture_released is PASS; then record asa_mast_socket_coupon_pass; asa_m5_nut_coupon_pass; asa_m5_clearance_coupon_pass using the final ASA spool",NOT_KITTED,,,NOT_INSPECTED,,,,RC03-INT-R1 KIT-MAST,ASA,asa_structural_0p4
KIT-MAST,Fixed-mast camera fallback,camera_mast_optional,07A,first_article,1 mast foot A,"1 vertical 2020 post; 2 M5 x 60 mm bolts; 2 M5 nuts; 2 M5 head washers; 4 base anchors; 4 M5 base washers","Do not kit or print until fixed_camera_fallback_architecture_released is PASS; then install the fallback post without bolt interference; alternate clamp tightening; verify base flatness and cracks immediately and after 24 hours; record mast_foot_first_article_pass",NOT_KITTED,,,NOT_INSPECTED,,,,RC03-INT-R1 KIT-MAST,ASA,asa_structural_0p4
KIT-MAST,Fixed-mast camera fallback,camera_mast_optional,07B,optional,1 mast foot B,"1 vertical 2020 post; 2 M5 x 60 mm bolts; 2 M5 nuts; 2 M5 head washers; 4 base anchors; 4 M5 base washers","Do not kit or print until fixed_camera_fallback_architecture_released is PASS; then repeat first-article checks; label feet A and B; verify paired mast seating crossbar level and stand stability",NOT_KITTED,,,NOT_INSPECTED,,,,RC03-INT-R1 KIT-MAST,ASA,asa_structural_0p4
