line_id,category,bag_id,item_id,quantity,unit,specification,print_job_or_use,state,notes
P023,Printed ABS,P-00G-S1,board_saddle_fit_coupon,1,each,ABS Rapido,00G-S1,FIT_GATE,Use the exact generated 3MF and mapped process at 100% scale.
P024,Printed ABS,P-00G-S1,u_splice_fit_coupon,1,each,ABS Rapido,00G-S1,FIT_GATE,Use the exact generated 3MF and mapped process at 100% scale.
H001,Metal hardware,HARDWARE,M6 x 25 external-hex flange-head bolt,4,each,10 mm wrench size; top-driven board corner clamps; head OD must be <=13.5 mm and must bear fully on the integrated 16.0 mm raised cap boss; first-cap physical seating remains mandatory,PORTAL_AND_CAMERA_ASSEMBLY,PROCURE_AND_VERIFY,"Do not substitute size, length, head style, or locking feature without rechecking the CAD stack."
H002,Metal hardware,HARDWARE,M6 DIN 985 nyloc nut,5,each,four fresh final board-clamp nuts plus one sacrificial 00G nut-pocket/prevailing-torque test nut; 10 mm across flats and <=6.0 mm high; side-loaded captured saddle pockets,PORTAL_AND_CAMERA_ASSEMBLY,PROCURE_AND_VERIFY,"Do not substitute size, length, head style, or locking feature without rechecking the CAD stack."
H003,Metal hardware,HARDWARE,M5 x 75 flange-head bolt,32,each,"sixteen standard-splice positions, four outer-crossbar splice positions, four center-crossbar splice positions, and eight portal-corner positions",PORTAL_AND_CAMERA_ASSEMBLY,PROCURE_AND_VERIFY,"Do not substitute size, length, head style, or locking feature without rechecking the CAD stack."
H004,Metal hardware,HARDWARE,M5 x 80 flange-head bolt,4,each,two diagonally separated saddle tower receiver cross-bolts per tower,PORTAL_AND_CAMERA_ASSEMBLY,PROCURE_AND_VERIFY,"Do not substitute size, length, head style, or locking feature without rechecking the CAD stack."
H005,Metal hardware,HARDWARE,M5 x 85 flange-head bolt,4,each,four carriage-to-boom end-collar positions,PORTAL_AND_CAMERA_ASSEMBLY,PROCURE_AND_VERIFY,"Do not substitute size, length, head style, or locking feature without rechecking the CAD stack."
H006,Metal hardware,HARDWARE,M5 x 90 flange-head bolt,8,each,four vertical top/bottom sandwich-strap bolts per boom root,PORTAL_AND_CAMERA_ASSEMBLY,PROCURE_AND_VERIFY,"Do not substitute size, length, head style, or locking feature without rechecking the CAD stack."
H007,Metal hardware,HARDWARE,M5 flanged nyloc nut,52,each,48 final installed M5 joints plus four sacrificial carriage nuts used only for the empty-frame proof/creep test; use four fresh nuts for final overhead carriage installation; no loose M5 washers required,PORTAL_AND_CAMERA_ASSEMBLY,PROCURE_AND_VERIFY,"Do not substitute size, length, head style, or locking feature without rechecking the CAD stack."
H008,Metal hardware,HARDWARE,M4 x 60 button-head bolt,4,each,four perimeter keeper bolts installed downward; washer and head fully recessed in keeper; nyloc and washer below cage base,PORTAL_AND_CAMERA_ASSEMBLY,PROCURE_AND_VERIFY,"Do not substitute size, length, head style, or locking feature without rechecking the CAD stack."
H009,Metal hardware,HARDWARE,M4 x 70 button-head socket bolt,3,each,2.5 mm internal hex; leveling screws installed downward from above carriage into captured cage-base nuts,PORTAL_AND_CAMERA_ASSEMBLY,PROCURE_AND_VERIFY,"Do not substitute size, length, head style, or locking feature without rechecking the CAD stack."
H010,Metal hardware,HARDWARE,M4 standard hex nut,6,each,three underside-loaded cage-base captured nuts beneath intact load-bearing roofs plus three accessible jam nuts directly below carriage,PORTAL_AND_CAMERA_ASSEMBLY,PROCURE_AND_VERIFY,"Do not substitute size, length, head style, or locking feature without rechecking the CAD stack."
H011,Metal hardware,HARDWARE,M4 nyloc nut,4,each,four-point keeper closure below cage base,PORTAL_AND_CAMERA_ASSEMBLY,PROCURE_AND_VERIFY,"Do not substitute size, length, head style, or locking feature without rechecking the CAD stack."
H012,Metal hardware,HARDWARE,M4 washer,14,each,"three under leveling heads, three above leveling jam nuts, four under recessed keeper heads, and four above keeper nylocs",PORTAL_AND_CAMERA_ASSEMBLY,PROCURE_AND_VERIFY,"Do not substitute size, length, head style, or locking feature without rechecking the CAD stack."
H013,Cable hardware,HARDWARE,5.0 mm maximum-width cable tie,6,each,"two integrated cage slots, two boom floor tie stations, and two right-upright floor tie stations",PORTAL_AND_CAMERA_ASSEMBLY,PROCURE_AND_VERIFY,"Do not substitute size, length, head style, or locking feature without rechecking the CAD stack."
H014,Safety hardware,HARDWARE,complete factory-terminated independent metal camera safety tether assembly,1,each,"500 +/- 25 mm finished cable-centerline length; 1.5-2.0 mm 7x7 stainless cable; coated OD <=3.0 mm; >=130 mm laid-flat choker eye around the exposed right distal boom station B (396.25,152.5); captive screw-lock cage connector stock/pin <=5 mm and opening >=9 mm; manufacturer WLL >=10 kg and MBL >=50 kg",PORTAL_AND_CAMERA_ASSEMBLY,PROCURE_AND_VERIFY,"Do not substitute size, length, head style, or locking feature without rechecking the CAD stack."
