entity_id,category,geometry,x_min_mm,x_max_mm,y_min_mm,y_max_mm,z_min_mm,z_max_mm,x_center_mm,y_center_mm,z_center_mm,dimension_or_radius_mm,status,source_or_note
BOARD_REAR_CLAMP_L,board_interface,contact,100,100,457,457,-18,0,100,457,-9,,DESIGN_CANDIDATE,"Pushes toward front datum; outside arm clamp opening"
BOARD_REAR_CLAMP_R,board_interface,contact,510,510,457,457,-18,0,510,457,-9,,DESIGN_CANDIDATE,"Pushes toward front datum; outside arm clamp opening"
TAG_T0,fiducial,tile,19.5,74.5,12.5,67.5,0,0,47,40,0,55x55 tile; 40 edge,CONTROLLED_NOMINAL,"Optical plane Z remains to be measured"
TAG_T1,fiducial,tile,412.5,467.5,12.5,67.5,0,0,440,40,0,55x55 tile; 40 edge,CONTROLLED_NOMINAL,"Optical plane Z remains to be measured"
TAG_T2,fiducial,tile,19.5,74.5,382.5,437.5,0,0,47,410,0,55x55 tile; 40 edge,CONTROLLED_NOMINAL,"Optical plane Z remains to be measured"
TAG_T3,fiducial,tile,535.5,590.5,382.5,437.5,0,0,563,410,0,55x55 tile; 40 edge,CONTROLLED_NOMINAL,"Optical plane Z remains to be measured"
TAG_K0,fiducial,tile,296.5,351.5,281.5,336.5,0,0,324,309,0,55x55 tile; 40 edge,CONTROLLED_NOMINAL,"Held-out station check; optical plane Z remains to be measured"
TAG_P0,fiducial,tile,431.5,486.5,281.5,336.5,0,0,459,309,0,55x55 tile; 40 edge,CONTROLLED_NOMINAL,"Held-out station check; optical plane Z remains to be measured"
FRAME_WITNESS,metrology,point,,,,,,,,,,,EXACT_LOCATION_OPEN,"Must be visible independently of board pose; assign family/ID after collision and image-layout review"
ROBOT_BASE_WITNESS,metrology,point,,,,,,,,,,,EXACT_LOCATION_OPEN,"Must not participate in board homography fit"
LIGHT_LEFT,lighting,envelope,,,,,920,,,,,,EXACT_LOCATION_OPEN,"Diffuse oblique placement; entire geometry above overhead floor within swept XY"
LIGHT_RIGHT,lighting,envelope,,,,,920,,,,,,EXACT_LOCATION_OPEN,"Diffuse oblique placement; entire geometry above overhead floor within swept XY"
