item_id,subsystem,qty,unit,candidate_description,candidate_dimension_or_spec,status,source_or_basis,qualification_or_release_note
BRD-001,board_interface,2,ea,Adjustable front-edge datum stop,"Vertical-face contact near B=(150,0) and (460,0); contact remains at or below Z=0",DESIGN_CANDIDATE_EXACT_BRACKET_OPEN,3-2-1 board location,"Use replaceable shims/slots; do not drill current board"
BRD-002,board_interface,1,ea,Adjustable left-edge datum stop,"Vertical-face contact near B=(0,260); contact remains at or below Z=0",DESIGN_CANDIDATE_EXACT_BRACKET_OPEN,3-2-1 board location,"Verify station and underside hardware clearance"
BRD-003,board_interface,1,ea,Right-edge horizontal clamp,"Contact near B=(610,260); pushes toward left datum",DESIGN_CANDIDATE_EXACT_BRACKET_OPEN,opposed board clamp,"Pad must not rise above board top or deform board"
BRD-004,board_interface,2,ea,Rear-edge horizontal clamp,"Contacts near B=(100,457) and (510,457); rear centre X=225..385 remains open",DESIGN_CANDIDATE_EXACT_BRACKET_OPEN,opposed board clamp and factory arm-clamp keepout,"Pad must not rise above board top or interfere with arm clamp"
BRD-005,board_interface,4,ea,Low-profile anti-lift retainer,"Captures underside/vertical edge without top-surface overlap",DESIGN_CANDIDATE_EXACT_BRACKET_OPEN,board retention,"Do not preload enough to warp the 18 mm board"
ADJ-001,adjustment,1,set,XY camera carriage with positive hard lock,"At least +/-50 mm X and +/-50 mm Y",DESIGN_CANDIDATE_EXACT_MPN_OPEN,optical qualification range,"Friction slot alone is not final retention; add hard stops or dowelable blocks after calibration"
ADJ-002,adjustment,1,set,Vertical and tip/tilt camera carriage,"Entrance pupil Z=950..1050 mm; roll/pitch at least +/-3 deg",DESIGN_CANDIDATE_EXACT_MPN_OPEN,optical height and alignment qualification,"Final setting must be positively locked and witness-marked"
ELEC-001,cabling,1,ea,USB 3 data cable or industrial active extension,"Single routed length nominal 2-3 m; 5 Gbit/s rated; Type-C at camera",REQUIRED_EXACT_MPN_OPEN,full-native B0477 bandwidth and frame routing,"Qualify exact cable/host port at 5472x3648 YUY2; included 1 m cable is likely too short"
ELEC-002,cabling,2,ea,Metal-backed cable strain-relief point,"One at camera carriage and one at high front crossbar",REQUIRED_EXACT_MPN_OPEN,cable-load isolation,"No normal cable load may reach camera cage or optical controls"
ELEC-003,cabling,1,set,Static cable raceway clips and guard,"Route from camera toward negative Y and down outside front upright",DESIGN_CANDIDATE_EXACT_MPN_OPEN,collision-safe cable path,"No hanging loop over robot or placemat; include in collision model"
LGT-001,lighting,2,ea,Flicker-free dimmable diffuse LED bar,"High-CRI candidate; locked constant-current output; symmetric oblique placement",REQUIRED_EXACT_MPN_OPEN,tag/keyboard/phone illumination,"Select only after glare flicker thermal and exposure trials"
LGT-002,lighting,2,ea,Light diffuser and glare shield,"Flame-safe rigid material; dimensions from selected light",REQUIRED_EXACT_GEOMETRY_OPEN,phone-screen reflection control,"Keep complete assembly above Z=920 mm in swept XY and model as collision geometry"
MET-001,metrology,1,set,Frame and robot-base witness targets,"Three independently measured matte witnesses; IDs/family reserved later",REQUIRED_EXACT_DESIGN_OPEN,camera-versus-board disturbance observability,"Exclude from T0-T3 pose fit and K0/P0 held-out checks"
MET-002,metrology,1,set,Tamper lacquer or witness paint,"Visible contrasting marks for every structural/optical adjustment",REQUIRED_EXACT_MPN_OPEN,disturbance inspection,"Photograph and hash baseline after final calibration"
MET-003,metrology,1,set,Replaceable precision shims and feeler gauges,"Supports provisional 610+/-0.5 x 457+/-0.5 x 17.5-18.5 mm interface accommodation",REQUIRED_EXACT_RANGE_OPEN,received-board fit-up,"Accommodation range is not acceptance of an out-of-tolerance board"
SAFE-001,safety,1,ea,Physical power-cut E-stop system,Exact design outside this camera addendum,EXISTING_SYSTEM_GATE_OPEN,master system safety requirement,"Camera support work does not release powered motion"
